Date	test-rig	dut-hw-version	dut-sw-version	dut-model-num	dut-serial-num	test-priority	test-id	short-description	pass/fail	numeric-score	test details	Units	Graph-Group	Subtest-Pass	Subtest-Fail
1625825344068		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-500atten		6.035564	Throughput at specified settings.	Mbps	Throughput	0	0
1625825410615		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-550atten		6.027296	Throughput at specified settings.	Mbps	Throughput	0	0
1625825477210		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-600atten		4.507941	Throughput at specified settings.	Mbps	Throughput	0	0
1625825642912		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-650atten		0.779373	Throughput at specified settings.	Mbps	Throughput	0	0
1625825709506		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-700atten		0.18455	Throughput at specified settings.	Mbps	Throughput	0	0
1625825776078		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-750atten		0.031667	Throughput at specified settings.	Mbps	Throughput	0	0
1625825860544		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-800atten		0.044193	Throughput at specified settings.	Mbps	Throughput	0	0
1625825927179		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-850atten		0.184479	Throughput at specified settings.	Mbps	Throughput	0	0
1625825993727		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-900atten		0.131725	Throughput at specified settings.	Mbps	Throughput	0	0
1625826060273		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-950atten		0.045548	Throughput at specified settings.	Mbps	Throughput	0	0
1625826131144		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-0atten		3.560102	Throughput at specified settings.	Mbps	Throughput	0	0
1625826194614		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-50atten		3.532214	Throughput at specified settings.	Mbps	Throughput	0	0
1625826256033		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-100atten		3.536517	Throughput at specified settings.	Mbps	Throughput	0	0
1625826317502		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-150atten		3.495481	Throughput at specified settings.	Mbps	Throughput	0	0
1625826378970		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-200atten		3.555632	Throughput at specified settings.	Mbps	Throughput	0	0
1625826440417		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-250atten		3.293575	Throughput at specified settings.	Mbps	Throughput	0	0
1625826501839		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-300atten		3.196024	Throughput at specified settings.	Mbps	Throughput	0	0
1625826563429		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-350atten		3.216321	Throughput at specified settings.	Mbps	Throughput	0	0
1625826624876		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-400atten		3.592322	Throughput at specified settings.	Mbps	Throughput	0	0
1625826686346		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-450atten		2.299024	Throughput at specified settings.	Mbps	Throughput	0	0
1625826754945		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-500atten		2.728148	Throughput at specified settings.	Mbps	Throughput	0	0
1625826823515		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-550atten		2.361503	Throughput at specified settings.	Mbps	Throughput	0	0
1625826890086		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-600atten		1.820133	Throughput at specified settings.	Mbps	Throughput	0	0
1625826956606		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-650atten		1.067094	Throughput at specified settings.	Mbps	Throughput	0	0
1625827023180		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-700atten		0.226528	Throughput at specified settings.	Mbps	Throughput	0	0
1625827093859		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-750atten		0.027227	Throughput at specified settings.	Mbps	Throughput	0	0
1625827208456		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-800atten		0.022907	Throughput at specified settings.	Mbps	Throughput	0	0
1625827287608		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-850atten		0.046443	Throughput at specified settings.	Mbps	Throughput	0	0
1625827371914		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-900atten		0.268301	Throughput at specified settings.	Mbps	Throughput	0	0
1625827440605		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-RX-MTU-950atten		0.222396	Throughput at specified settings.	Mbps	Throughput	0	0
