"Rx Errors",
Date,"cv_udp-1.1-1.wlan000--1.0.0-A/Errors",Date,"cv_udp-1.1-1.wlan000--1.0.0-B/Errors",Date,"cv_tcp-1.1-1.wlan000--1.0.0-A/Errors",Date,"cv_tcp-1.1-1.wlan000--1.0.0-B/Errors",
NA,NA,NA,NA,"2021-07-08T13:12:48.956 UTC",0,"2021-07-08T13:12:48.956 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:49.967 UTC",0,"2021-07-08T13:12:49.967 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:50.978 UTC",0,"2021-07-08T13:12:50.978 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:51.991 UTC",0,"2021-07-08T13:12:51.991 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:53.003 UTC",0,"2021-07-08T13:12:53.003 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:54.014 UTC",0,"2021-07-08T13:12:54.014 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:55.026 UTC",0,"2021-07-08T13:12:55.026 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:56.039 UTC",0,"2021-07-08T13:12:56.039 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:57.051 UTC",0,"2021-07-08T13:12:57.051 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:58.062 UTC",0,"2021-07-08T13:12:58.062 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:12:59.073 UTC",0,"2021-07-08T13:12:59.073 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:13:00.084 UTC",0,"2021-07-08T13:13:00.084 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:13:01.095 UTC",0,"2021-07-08T13:13:01.095 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:13:02.106 UTC",0,"2021-07-08T13:13:02.106 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:13:03.119 UTC",0,"2021-07-08T13:13:03.119 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:13:04.131 UTC",0,"2021-07-08T13:13:04.131 UTC",0,
