"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","BRIDGE MODE CLIENT CONNECT","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","Client Connectivity","wpa3_personal 5 GHZ Band","0","0","0","4","0"
"","VLAN MODE CLIENT CONNECT","wpa3_personal 2.4 GHZ Band","0","0","0","2","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa_wpa2_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa enterprise 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","OPEN 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa_wpa2_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3 enterprise 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa2 enterprise 5 GHZ Band","0","0","0","1","0"
"","Master Configurations Test","","0","0","0","3","0"
"","VLAN MODE CLIENT CONNECT","","0","0","0","6","0"
"","NAT MODE CLIENT CONNECT","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa wpa2 personal mixed 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECT","wpa3_personal 2.4 GHZ Band","0","0","0","2","0"
"","VLAN MODE RATE LIMITING","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","Client Connectivity","OWE-Transition 5 GHZ Band - OWE Client","0","0","0","2","0"
"","NAT MODE TOGGLE AIRPLANE","wpa_wpa2_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE RATE LIMITING","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","OPEN 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE RATE LIMITING","wpa 5 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECT","OPEN 5 GHZ Band","0","0","0","1","0"
"","Multi SSID Test","","0","0","0","8","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","open 5 GHZ Band","0","0","0","1","0"
"","vlan MODE CLIENT CONNECTIVITY","","0","0","0","2","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa_wpa2_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","NAT MODE RATE LIMITING","wpa 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE CLIENT CONNECT","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","2","0"
"","VLAN MODE RATE LIMITING","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","Maximum Connection","","0","0","0","2","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa_wpa2_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","Client Connectivity","OWE-Transition 5 GHZ Band - Non-OWE Client","0","0","0","2","0"
"","Client Connectivity","OWE-Transition 2.4 GHZ Band - OWE Client","0","0","0","2","0"
"","VLAN MODE RATE LIMITING","wpa 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE RATE LIMITING","wpa3_personal 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECT","wpa wpa2 personal mixed 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3_personal 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECT","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","2","0"
"","VLAN MODE CLIENT CONNECT","wpa3_personal_mixed 5 GHZ Band","0","0","0","2","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa enterprise 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECT","wpa 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","RATE VS RANGE","","0","0","0","2","0"
"","BRIDGE MODE CLIENT CONNECT","wpa3_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","open 5 GHZ Band","0","0","0","1","0"
"","Strict Forwarding","","0","0","0","3","0"
"","VLAN MODE RATE LIMITING","wpa3_personal 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE CLIENT CONNECTIVITY","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE CLIENT CONNECT","wpa 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","open 2.4 GHZ Band","0","0","0","1","0"
"","bridge MODE CLIENT CONNECTIVITY","","0","0","0","2","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3_enterprise_mixed 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE RATE LIMITING","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa2 enterprise 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa3_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3_personal_mixed 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3 enterprise 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3_personal 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE open security and Downlink MU_MIMO Test","","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3_personal_mixed 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE RATE LIMITING","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE CLIENT CONNECT","wpa3_personal 5 GHZ Band","0","0","0","2","0"
"","NAT MODE CLIENT CONNECT","OPEN 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","open 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3_personal_mixed 5 GHZ Band","0","0","0","1","0"
"","Wifi_stats_comparison","wpa3_personal","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa enterprise 5 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE RATE LIMITING","wpa2_personal 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa_wpa2_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa 2.4 GHZ Band","0","0","0","1","0"
"","VLAN MODE TOGGLE AIRPLANE","wpa_wpa2_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE TOGGLE AIRPLANE","wpa2 enterprise 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE RATE LIMITING","wpa3_personal 5 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa_wpa2_enterprise_mixed 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa enterprise 2.4 GHZ Band","0","0","0","1","0"
"","NAT MODE RATE LIMITING","wpa2_personal 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa enterprise 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa2 enterprise 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3 enterprise 2.4 GHZ Band","0","0","0","1","0"
"","BRIDGE MODE CLIENT CONNECT","wpa3_personal_mixed 5 GHZ Band","0","0","0","1","0"
"","NAT MODE TOGGLE AIRPLANE","wpa3_personal_mixed 2.4 GHZ Band","0","0","0","1","0"
